Number	Proteins	avg_spearman	size	avg_spearman_random	significant	large
0	{'Q8IB24', 'Q8IBV7', 'Q8IKG9', 'Q8IET7', 'Q8I5L6', 'Q8IK89', 'O97285', 'Q8I0P6', 'Q8IKF0', 'C6KT18', 'Q8I5H4', 'Q8I0V2', 'Q8IIV2', 'C6KSV0', 'Q8IIV1', 'K7NTP5'}	0.37693511198945984	16	0.36611231884057976	True	True
1	{'Q7K6A9', 'Q8IJT1', 'Q8IKJ0', 'Q8IE84', 'A0A5K1K7U1', 'Q8I0U7', 'Q8IDG3', 'Q6ZMA8', 'Q8IK90', 'Q8IJN9', 'Q8IC01', 'Q8I280', 'Q8IDG2', 'Q8I2H3', 'Q8II43', 'Q8I2X4', 'Q8IAR3', 'Q8I261', 'Q8IEK1', 'O77396', 'C6KST3', 'Q8IBI3', 'C6KT34', 'Q76NM6'}	0.7384645128028872	24	0.365905940310477	True	True
2	{'Q8IFP3', 'Q8IIJ8', 'O97285', 'A0A143ZY58', 'Q8IKK7', 'O96252', 'Q8I0V2', 'Q76NM3', 'Q8I289', 'Q8IJW0', 'Q7KQL5', 'Q8IET7', 'Q8IB03', 'O97247', 'Q8IEC8', 'C6KSX4', 'Q8IKR1', 'C6KTA4', 'Q8I0P6', 'Q8IKF0', 'Q8IES0', 'Q8ILA1', 'Q8IIV8', 'O96153', 'K7NTP5', 'Q8I1V1'}	0.398491942839769	26	0.36878476740650656	True	True
3	{'Q8ILB6', 'Q76NN6', 'Q8IM55', 'Q8ILI6', 'Q8II61', 'Q8I2W3', 'Q8I5B6', 'Q8I608'}	0.49710615471485037	8	0.3821061547148503	True	True
4	{'A0A144A2H0', 'Q8II24', 'Q7KQM0', 'Q8IDZ8'}	0.9351119894598156	4	0.3463965744400528	True	True
5	{'Q8IEC8', 'Q8I2W2', 'Q8ILV6', 'Q8IDN6'}	0.6347167325428195	4	0.3430303030303032	True	True
6	{'Q7K6A9', 'Q8IJT1', 'Q8IKJ0', 'A0A5K1K7U1', 'Q8I0U7', 'Q8IDG3', 'Q6ZMA8', 'Q8IK90', 'Q8IJN9', 'Q8IC01', 'Q8IDG2', 'Q8II36', 'Q8II43', 'C0H5H0', 'O97227', 'Q8I2X4', 'Q8IAR3', 'Q8I261', 'Q8IEK1', 'O77396', 'C6KST3', 'Q8IBI3', 'C6KT34', 'Q76NM6'}	0.7216553531534629	24	0.3696569427736724	True	True
7	{'Q8IKC8', 'Q8IEU2', 'Q8IBN4', 'O77310', 'Q8I485', 'Q8ILZ1', 'Q8I484', 'Q8I4R5', 'Q8I395', 'Q8IAV1', 'C0H571'}	0.5522637441609775	11	0.37493065037729095	True	True
8	{'C6KT50', 'Q7KQL9', 'Q8IJN7'}	0.607707509881423	3	0.3855039525691698	True	True
9	{'Q8ILB6', 'Q8IEJ6', 'P61074', 'O97227', 'Q8I0X1'}	0.6785573122529645	5	0.3655998023715417	True	True
10	{'Q8I0V4', 'Q8IDZ8', 'A0A144A2H0', 'Q8IK89', 'Q8IKF0', 'C0H4V6', 'Q8II24', 'Q8IB24', 'Q8IC05'}	0.6380654369784806	9	0.3756793478260871	True	True
11	{'Q8IL75', 'Q8I2I2', 'Q8I3N3', 'Q8IKI8', 'Q8I2N1'}	0.7042490118577076	5	0.3769219367588931	True	True
12	{'Q8IEI6', 'Q8I490', 'Q8IDG9'}	0.588274044795784	3	0.42213438735177883	True	True
13	{'Q8I6S5', 'Q8IEA6', 'Q8IJ34'}	0.47463768115942034	3	0.3725559947299078	True	True
14	{'Q8IB24', 'Q8I608', 'Q8IBV7', 'Q8IJX8', 'Q8IK89', 'Q8IAX8', 'C6KT18', 'Q8IJX3', 'Q8I5H4', 'Q8I0V2', 'Q8IIV2', 'C6KSV0', 'Q8IIV1', 'K7NTP5'}	0.33188550579854925	14	0.36997632801980623	False	True
15	{'Q8IIX5', 'Q8I490', 'Q8IFM0', 'Q8I2F4', 'Q8I206', 'Q8IDG9'}	0.3848484848484849	6	0.33699736495388677	True	True
16	{'Q8I2J3', 'Q8IJN9', 'Q8II36', 'Q8IC01', 'Q8IEK1', 'C0H5H0', 'Q8II24', 'O97227', 'Q8I2X4', 'Q8IDG2'}	0.6264822134387352	10	0.3679881422924901	True	True
17	{'A0A5K1K8H7', 'Q8I3W9', 'Q8IHR8', 'Q76NM4'}	0.48666007905138337	4	0.35823122529644275	True	True
18	{'Q8IFP3', 'Q8IIJ8', 'O97285', 'O96252', 'Q8I0V2', 'Q8I289', 'Q8IJW0', 'Q7KQL5', 'Q8IET7', 'Q8IB03', 'O97247', 'Q8I5H4', 'Q8IKR1', 'C6KTA4', 'Q8IK89', 'Q8I0P6', 'Q8IKF0', 'Q8IES0', 'O96153', 'K7NTP5', 'Q8I1V1'}	0.4265763222284962	21	0.3522995012234142	True	True
19	{'O77312', 'Q8I3M5', 'C6KTB3'}	0.7747035573122529	3	0.3864097496706193	True	True
20	{'Q8ILB6', 'Q76NN6', 'Q8IM55', 'P61074', 'C0H4V6', 'Q8ILI6', 'Q8II61', 'Q8I2W3', 'O97320', 'Q8I608'}	0.4113306982872201	10	0.3603216952129995	True	True
21	{'Q8ILB6', 'Q76NN6', 'P61074', 'Q7KQK6', 'Q8ILI6', 'Q8II61', 'Q8I2W3', 'Q8I0X1', 'Q8I608'}	0.4009936319718928	9	0.3869029973649537	True	True
22	{'C0H4Y6', 'Q8I2V9'}	0.5069169960474309	2	0.39522727272727276	True	False
23	{'Q8IM57', 'C0H4D2'}	0.9071146245059288	2	0.3576086956521738	True	False
24	{'Q8IB24', 'Q76NN8', 'Q8IKG9', 'Q8I5L6', 'Q8IBD1', 'Q8IK89', 'O97285', 'Q8IKF0', 'Q8I5A9', 'O96252', 'Q8I5H4', 'Q8I0V2', 'K7NTP5'}	0.31221495895408935	13	0.35544377723725545	False	True
25	{'O96127', 'Q8I492'}	0.7361660079051384	2	0.3477766798418973	True	False
26	{'A0A5K1K7X4', 'Q8IIF0'}	0.6966403162055337	2	0.32610671936758906	True	False
27	{'Q8IAX8', 'C6KT18', 'Q8ILG8', 'Q8I5H4', 'Q8IJX3', 'Q8IIV2', 'C6KSV0', 'Q8IIV1', 'Q8IBV7'}	0.3496376811594203	9	0.33190080149319284	True	True
28	{'Q8I2J3', 'Q7K6A5', 'Q8II36', 'Q8IC01', 'Q8IEK1', 'O97227', 'Q8I2X4'}	0.4384528514963298	7	0.3785907208733296	True	True
29	{'Q8IDN0', 'A0A5K1K8W5'}	0.8932806324110673	2	0.42402173913043484	True	False
30	{'Q8IM01', 'Q8IAX8', 'C6KT18', 'Q8IJX3', 'Q8I5H4', 'Q8IIV2', 'C6KSV0', 'Q8IIV1', 'Q8IBV7'}	0.3394817742643829	9	0.3694323671497585	False	True
31	{'Q8IFM9', 'Q8IJM9'}	0.8715415019762847	2	0.42978260869565227	True	False
32	{'Q7KWJ2', 'A0A143ZX41'}	0.8221343873517787	2	0.3652272727272727	True	False
